_link,_link_daily_16,dt,rain,pressure,humidity,uvi,speed,deg,clouds,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,snow
0.data.0,0,1489395600,0.43,1006.85,0,3.09,3.2,44,53,285.33,277.97,285.33,279.36,280.94,277.97,
0.data.1,0,1489482000,0.95,991.08,83,3.19,4.13,60,76,281.66,277.1,281.9,277.1,279.71,277.28,
0.data.2,0,1489568400,0.25,993.96,94,3.01,3.76,41,80,278.97,275.65,279.95,275.65,279.13,275.93,
0.data.3,0,1489654800,3.17,990.04,97,3.2,3.51,244,92,279.79,276.01,279.79,276.01,278.73,276.86,
0.data.4,0,1489741200,0.33,1012.47,0,2.79,2.05,317,30,280.8,272.36,280.8,272.36,276.71,277.43,
0.data.5,0,1489827600,0.48,1010.58,0,3.36,2.29,242,21,281.5,272.69,281.5,272.69,276.26,276.57,
0.data.6,0,1489914000,,1008.61,0,3.3,2.27,166,1,283.87,273.73,283.87,273.73,277.1,277.3,
0.data.7,0,1490000400,1.9,1002.01,0,3.3,4.36,154,34,285.22,278.05,285.22,278.85,280.1,278.05,
0.data.8,0,1490086800,14.44,995.72,0,3.3,1.86,289,52,284.12,279.07,284.12,279.07,280.24,280.81,
0.data.9,0,1490173200,0.32,1013.61,0,3.3,3.34,279,5,283.15,277.4,283.15,277.4,278.56,278.69,
0.data.10,0,1490259600,0.38,1013.07,0,3.3,2.15,276,14,283.16,273.3,283.16,273.3,277.97,279.78,
0.data.11,0,1490346000,,1013.2,0,3.3,2,65,68,282.89,275.36,282.89,275.36,279.01,276.61,
0.data.12,0,1490432400,,1008.32,0,3.3,3.8,58,5,286.7,278.31,286.7,278.44,281.22,278.31,
0.data.13,0,1490518800,2.54,1003.89,0,3.3,3.09,51,67,286.07,279.97,286.07,280.45,282.58,279.97,
0.data.14,0,1490605200,0.85,1006.67,0,3.3,2.74,253,76,284.9,279.04,284.9,279.04,281.56,281.65,
0.data.15,0,1490691600,0.73,1016.53,0,3.3,2.83,170,32,287.83,279.65,287.83,279.65,283.6,280.4,
0.data.16,0,1490778000,,1019.41,0,3.3,2.04,113,7,279.65,279.65,279.65,279.65,279.65,279.65,
1.data.0,1,1489395600,,1017.38,0,1.62,1.66,208,36,277.68,265.39,277.68,265.39,269.14,269.32,
1.data.1,1,1489482000,,1019.69,100,1.59,0.48,86,32,276.8,266.05,277.6,266.05,274.81,269.72,
1.data.2,1,1489568400,,1011.31,97,1.77,3.81,189,0,274.62,264.23,277.15,275.3,276.23,264.23,0.02
1.data.3,1,1489654800,0.38,1003.74,100,2.04,1.71,228,80,275.19,268.01,275.97,268.01,274.63,274.66,0.79
1.data.4,1,1489741200,0.23,1004.37,0,1.76,1.6,231,13,279.35,270.26,279.35,270.26,272.76,273.58,
1.data.5,1,1489827600,0.89,998.02,0,1.77,8.31,191,87,279,274.52,279,275.44,276.41,274.52,
1.data.6,1,1489914000,6.5,992.4,0,1.9,11.03,190,80,279.22,275.3,279.22,279.08,278.25,275.3,0
1.data.7,1,1490000400,7.56,994.72,0,1.9,7.09,183,98,280.37,277.7,280.37,277.7,278.55,279.55,
1.data.8,1,1490086800,4.49,1000.78,0,1.9,5.98,186,98,280.02,278.21,280.02,278.42,279.14,278.21,
1.data.9,1,1490173200,0.92,1006.12,0,1.9,4.23,106,99,279.65,275.25,279.65,275.25,277.41,278.39,0.01
1.data.10,1,1490259600,2.63,1009.22,0,1.9,8.1,51,86,276.81,274.28,276.81,275.8,276.07,274.28,0.82
1.data.11,1,1490346000,1.31,1016.44,0,1.9,7.62,49,49,278.64,273.96,278.64,273.96,275.51,275.91,0.08
1.data.12,1,1490432400,0.62,1015.01,0,1.9,1.78,142,68,278.9,270.59,278.9,270.59,274.37,275.11,0.02
1.data.13,1,1490518800,1.62,1010.58,0,1.9,1.01,302,16,281.22,275.05,281.22,275.05,276.68,276.22,
1.data.14,1,1490605200,0.47,1011.33,0,1.9,5.78,72,93,275.55,268.44,275.55,268.44,272.66,275.45,0.32
1.data.15,1,1490691600,,1024.03,0,1.9,3.69,77,1,276.78,265.8,276.78,265.8,270.5,270.45,
1.data.16,1,1490778000,,1025.9,0,1.9,1.3,92,0,265.8,265.8,265.8,265.8,265.8,265.8,
2.data.0,2,1489471200,0.96,708.98,65,9.13,0.4,212,8,284.64,269.81,284.64,269.81,275.66,284.15,0.2
2.data.1,2,1489557600,,709.79,58,8.88,0.29,193,0,278.34,270.01,279.27,271.76,276.5,270.01,0
2.data.2,2,1489644000,2.59,707.85,57,9.3,0.53,179,36,278.23,270.22,278.23,272.41,274.27,270.22,1.01
2.data.3,2,1489730400,9.8,787.6,0,8.37,0.83,215,17,283.83,276.06,283.83,276.06,279.1,276.38,4.18
2.data.4,2,1489816800,2.2,788.48,0,7.98,0.74,201,17,283.37,272.76,283.37,276.06,280.5,272.76,1.35
2.data.5,2,1489903200,2.05,790,0,9.1,0.69,205,41,284.95,274.89,284.95,274.95,281.87,274.89,2.05
2.data.6,2,1489989600,1.97,790.08,0,9.1,0.85,240,26,283.35,272.73,283.35,273.35,281.32,272.73,1.35
2.data.7,2,1490076000,,790.94,0,9.1,0.5,291,0,287.06,271.35,287.06,274.74,285.12,271.35,
